FD1,FD2,FD3,FD4,FD5,FD6,FD7,FD8,FD9,FD10,FD11,FD12,FD13,FD14,FD15,FD16,FD17,FD18,FD19,FD20,FD21,FD22,FD23,FD24,FD25,FD26,FD27,ISIN,SM,FDD1,FDD2,FDD3,FDD4,FDD5,FDD6,FDD7,ISCHECK,JC,OLD,ISXT,FDAYS,ISTZ,BUREAU,AttenTion
3U8034,319,1234567,ZULS,1300,1510,ZUXC,,,,,,,,,,,0,航路航线审核中；,国内,0,0331,1026,77415,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8037,319,......7,ZUUU,1040,1150,ZUKD,,,,,,,,,,,0,航路航线审核中；,国内,0,0331,1026,42373,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8037,319,1.3.5..,ZUUU,1045,1150,ZUKD,,,,,,,,,,,0,航路航线审核中；,国内,0,0331,1026,42374,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8037,319,.2.4.6.,ZUUU,1050,1150,ZUKD,,,,,,,,,,,0,航路航线审核中；,国内,0,0331,1026,42375,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8038,319,1234567,ZUKD,1235,1335,ZUUU,,,,,,,,,,,0,航路航线审核中；,国内,0,0331,1026,42376,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8039,321,.2.4.6.,ZBTJ,1620,1825,ZSNB,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42377,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8040,321,.....6.,ZSNB,1910,2115,ZBTJ,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42378,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8040,321,.2.4...,ZSNB,1910,2115,ZBTJ,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,67110,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8041,321,.2.4.6.,ZHCC,1340,1625,ZGNN,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42379,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8042,321,.2.4.6.,ZGNN,1715,1945,ZHCC,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42380,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8043,320,1.3.5.7,ZUXC,1350,1635,ZSNJ,,,,,,,,,,,0,或319执行,国内,0,0331,1026,42381,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8044,320,1.3.5.7,ZSNJ,1735,2045,ZUXC,,,,,,,,,,,0,或319执行,国内,0,0331,1026,42382,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8045,320,1234567,ZPPP,1800,2105,ZBTJ,,,,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42383,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8046,320,1234567,ZBTJ,2205,0140,ZPPP,,,,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42384,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8049,320,1.3.5.7,ZUXC,1505,1715,ZGHA,,,,,,,,,,,0,或321/319执行,国内,0,0331,1026,42385,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8050,320,1.3.5.7,ZGHA,1100,1310,ZUXC,,,,,,,,,,,0,或321/319执行,国内,0,0331,1026,42386,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8051,319,..3.5..,ZUUU,1830,2045,ZGBH,,,,,,,,,,,0,或330/321/320执行,国内,0,0331,1026,42387,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8051,319,1......,ZUUU,2040,2245,ZGBH,,,,,,,,,,,0,或330/321/320执行,国内,0,0331,1026,42388,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8051,321,.2.4.67,ZUUU,2040,2245,ZGBH,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42389,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8052,319,..3.5..,ZGBH,2130,2340,ZUUU,,,,,,,,,,,0,或330/321/320执行,国内,0,0331,1026,42390,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8052,319,1......,ZGBH,2330,0140,ZUUU,,,,,,,,,,,0,或330/321/320执行,国内,0,0331,1026,42391,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8052,321,.2.4.67,ZGBH,2330,0140,ZUUU,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42392,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8055,321,1.3.5.7,ZGNN,1455,1725,ZSCG,,,,,,,,,,,0,航路航线审核中；或330/320/319执行,国内,0,0331,1026,42393,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8056,321,1.3.5.7,ZSCG,1825,2110,ZGNN,,,,,,,,,,,0,航路航线审核中；或330/320/319执行,国内,0,0331,1026,42394,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8059,320,.2.4.6.,ZUXC,0705,0925,ZSCN,1015,1130,ZSWZ,,,,,,,,0,或321/319执行,国内,0,0331,1026,42395,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8060,320,.2.4.6.,ZSWZ,1230,1335,ZSCN,1425,1635,ZUXC,,,,,,,,0,,国内,0,0331,1026,42397,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8061,320,1.3....,ZWWW,0745,1020,ZLLL,1115,1245,ZUUU,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,72642,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8061,320,.2.4567,ZWWW,0745,1020,ZLLL,1115,1250,ZUUU,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,72644,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8062,320,1234567,ZUUU,1600,1725,ZLLL,1815,2100,ZWWW,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42401,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8063,321,.2.4...,ZUUU,0625,0900,ZGSD,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42403,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8063,321,1.3.5.7,ZUUU,0635,0900,ZGSD,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42404,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8063,321,.....6.,ZUUU,0640,0900,ZGSD,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42405,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8064,321,12345.7,ZGSD,0955,1220,ZUUU,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42406,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8064,321,.....6.,ZGSD,0955,1220,ZUUU,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42407,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8067,320,1......,ZUUU,0750,0945,ZGNN,,,,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42408,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8068,320,1......,ZGNN,1055,1300,ZUUU,,,,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42409,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8103,319,......7,ZUUU,1510,1710,ZBLL,1825,2000,ZYTL,,,,,,,,0,航路航线审核中；或330/321/320执行,国内,0,0331,1026,42444,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8103,319,..3.5..,ZUUU,1525,1720,ZBLL,1825,2000,ZYTL,,,,,,,,0,航路航线审核中；或330/321/320执行,国内,0,0331,1026,42446,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8104,319,......7,ZYTL,2050,2220,ZBLL,2305,0110,ZUUU,,,,,,,,0,航路航线审核中；或330/321/320执行,国内,0,0331,1026,42448,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8104,319,....5..,ZYTL,2050,2220,ZBLL,2305,0105,ZUUU,,,,,,,,0,航路航线审核中；或330/321/320执行,国内,0,0331,1026,42450,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8104,319,..3....,ZYTL,2050,2220,ZBLL,2305,0115,ZUUU,,,,,,,,0,航路航线审核中；或330/321/320执行,国内,0,0331,1026,42452,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8105,330,....5..,ZUUU,0750,1015,ZBYN,,,,,,,,,,,0,或321/320/319执行,国内,0,0331,1026,42454,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8105,330,..3....,ZUUU,0805,1015,ZBYN,,,,,,,,,,,0,或321/320/319执行,国内,0,0331,1026,42455,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8106,330,...4.6.,ZBYN,1625,1835,ZUUU,,,,,,,,,,,0,或321/320/319执行,国内,0,0331,1026,42456,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8107,320,.234567,ZPPP,1355,1655,ZSCG,1755,1910,ZSQD,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42457,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8107,320,1......,ZPPP,1355,1655,ZSCG,1755,1910,ZSQD,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,67388,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8108,320,1234567,ZSQD,2025,2145,ZSCG,2235,0130,ZPPP,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42459,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8111,319,...4...,ZUUU,0635,0755,ZUDC,,,,,,,,,,,0,,国内,0,0331,1026,42461,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8111,319,.2...6.,ZUUU,0650,0800,ZUDC,,,,,,,,,,,0,,国内,0,0331,1026,42462,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8111,319,1.3.5.7,ZUUU,0750,0900,ZUDC,,,,,,,,,,,0,,国内,0,0331,1026,42463,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8112,319,1.....7,ZUDC,0945,1050,ZUUU,,,,,,,,,,,0,,国内,0,0331,1026,42464,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8112,319,..3.5..,ZUDC,0955,1105,ZUUU,,,,,,,,,,,0,,国内,0,0331,1026,42465,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8112,319,.2.4.6.,ZUDC,1235,1340,ZUUU,,,,,,,,,,,0,,国内,0,0331,1026,42466,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8113,320,..3.5..,ZUXC,1010,1135,ZPJH,,,,,,,,,,,0,或319执行,国内,0,0331,1026,77574,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8114,320,..3.5..,ZPJH,1220,1400,ZUXC,,,,,,,,,,,0,或319执行,国内,0,0331,1026,77576,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8115,319,.2...6.,ZUUU,0625,0750,ZLXH,0845,0955,ZLIC,,,,,,,,0,航路航线审核中；,国内,0,0331,1026,42467,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8115,319,...4...,ZUUU,0640,0800,ZLXH,0845,0955,ZLIC,,,,,,,,0,航路航线审核中；,国内,0,0331,1026,42469,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8116,319,...4.6.,ZLIC,1040,1150,ZLXH,1235,1355,ZUUU,,,,,,,,0,航路航线审核中；,国内,0,0331,1026,42471,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8116,319,.2.....,ZLIC,1040,1150,ZLXH,1235,1405,ZUUU,,,,,,,,0,航路航线审核中；,国内,0,0331,1026,42473,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8117,320,1234567,ZPPP,0920,1210,ZSNJ,,,,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42475,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8118,320,.....6.,ZSNJ,1310,1615,ZPPP,,,,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,72722,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8118,320,12345.7,ZSNJ,1310,1610,ZPPP,,,,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,72721,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8119,319,1.3.5..,ZPSM,1000,1205,ZJQH,,,,,,,,,,,0,航路航线审核中；,国内,0,0331,1026,75521,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8120,319,1.3.5..,ZJQH,1250,1450,ZPSM,,,,,,,,,,,0,航路航线审核中；,国内,0,0331,1026,75522,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8123,319,1.3.5.7,ZLXY,1910,2120,ZSQD,,,,,,,,,,,0,或330/321/320执行,国内,0,0331,1026,42477,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8123,320,.2.4.6.,ZLXY,1910,2120,ZSQD,,,,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42478,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8124,319,1.3.5.7,ZSQD,2220,0040,ZLXY,,,,,,,,,,,0,或330/321/320执行,国内,0,0331,1026,42479,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8124,320,.2.4.6.,ZSQD,2220,0040,ZLXY,,,,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42480,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8125,321,.2.4.6.,ZYHB,0915,1110,ZSYT,1155,1445,ZUCK,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42481,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8126,321,.....6.,ZUCK,1545,1850,ZSYT,1940,2135,ZYHB,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42483,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8126,321,...4...,ZUCK,1545,1850,ZSYT,1940,2135,ZYHB,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42485,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8126,321,.2.....,ZUCK,1545,1850,ZSYT,2005,2210,ZYHB,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42487,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8127,321,..3....,ZBTJ,1610,1840,ZGDY,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42489,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8127,321,1...5.7,ZBTJ,1610,1840,ZGDY,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,66402,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8128,321,....5..,ZGDY,1945,2210,ZBTJ,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42490,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8128,321,..3...7,ZGDY,1945,2210,ZBTJ,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,66372,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8128,321,1......,ZGDY,1945,2210,ZBTJ,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,66392,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8131,320,.2.4.6.,ZLXY,0725,0910,ZUGY,1010,1205,ZSQZ,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42493,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8132,320,.2.4.6.,ZSQZ,1250,1455,ZUGY,1605,1755,ZLXY,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42495,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8133,321,.2.4.6.,ZJSY,0925,1240,ZHCC,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42497,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8134,321,.2.4.6.,ZHCC,2045,2350,ZJSY,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42498,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8137,321,.....6.,ZUCK,0650,0845,ZGNN,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42499,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8137,321,.2.4...,ZUCK,0700,0845,ZGNN,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42500,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8138,321,.2.4.6.,ZGNN,0705,0845,ZUCK,,,,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42501,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8139,319,...4...,ZUUU,0720,1015,ZYAS,,,,,,,,,,,0,航路航线审核中；或321/320执行,国内,0,0331,1026,42502,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8139,320,.2.....,ZUUU,0700,1005,ZYAS,,,,,,,,,,,0,航路航线审核中；或321/319执行,国内,0,0331,1026,42503,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8139,320,.....6.,ZUUU,0715,1020,ZYAS,,,,,,,,,,,0,航路航线审核中；或321/319执行,国内,0,0331,1026,42504,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8140,319,...4...,ZYAS,1110,1505,ZUUU,,,,,,,,,,,0,航路航线审核中；或321/320执行,国内,0,0331,1026,42505,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8140,320,.2...6.,ZYAS,1120,1520,ZUUU,,,,,,,,,,,0,航路航线审核中；或321/319执行,国内,0,0331,1026,42506,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8141,320,1234567,ZUXC,1805,2000,ZGNN,,,,,,,,,,,0,航路航线审核中；或319执行,国内,0,0331,1026,42507,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8142,320,1234567,ZGNN,2050,2250,ZUXC,,,,,,,,,,,0,航路航线审核中；或319执行,国内,0,0331,1026,42508,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8149,319,1......,ZUXC,1010,1110,ZUKD,,,,,,,,,,,0,航路航线审核中；,国内,0,0331,1026,77956,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8150,319,1......,ZUKD,1155,1255,ZUXC,,,,,,,,,,,0,航路航线审核中；,国内,0,0331,1026,77959,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8151,320,1.3.5.7,ZGSD,1230,1440,ZSCG,,,,,,,,,,,0,航路航线审核中；或330/321/319执行,国内,0,0331,1026,42511,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8152,320,1.3.5.7,ZSCG,1700,1920,ZGSD,,,,,,,,,,,0,航路航线审核中；或330/321/319执行,国内,0,0331,1026,42512,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8155,320,...4...,ZUUU,0835,1015,ZLXN,1100,1325,ZWTL,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42513,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8155,320,....5..,ZUUU,0845,1035,ZLXN,1120,1345,ZWTL,,,,,,,,0,或321/319执行,国内,0,0331,1026,42515,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8155,320,..3....,ZUUU,0845,1035,ZLXN,1120,1345,ZWTL,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,68060,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8155,320,1.....7,ZUUU,0835,1015,ZLXN,1100,1325,ZWTL,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,68101,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8156,320,...4...,ZWTL,1410,1625,ZLXN,1710,1850,ZUUU,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42517,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8156,320,......7,ZWTL,1410,1635,ZLXN,1720,1905,ZUUU,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42519,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8156,320,....5..,ZWTL,1505,1730,ZLXN,1820,2015,ZUUU,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42521,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8156,320,..3....,ZWTL,1505,1730,ZLXN,1820,2015,ZUUU,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,68062,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8156,320,1......,ZWTL,1410,1635,ZLXN,1720,1905,ZUUU,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,68093,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8159,321,1.3.5.7,ZYHB,0730,1100,ZSCN,1150,1350,ZGBH,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42523,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8160,321,..3.5.7,ZGBH,1435,1625,ZSCN,1720,2045,ZYHB,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42525,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8160,321,1......,ZGBH,1435,1625,ZSCN,1745,2125,ZYHB,,,,,,,,0,或330/320/319执行,国内,0,0331,1026,42527,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8161,320,1.3.5.7,ZYHB,0735,1205,ZGGG,,,,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42529,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8162,320,1.3.5.7,ZGGG,1315,1730,ZYHB,,,,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42530,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8163,319,..345.7,ZSHC,0705,0935,ZUCK,1025,1150,ZUDC,,,,,,,,0,,国内,0,0331,1026,42531,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8163,319,1......,ZSHC,0705,0935,ZUCK,1025,1155,ZUDC,,,,,,,,0,,国内,0,0331,1026,42533,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8164,319,...4...,ZUDC,1230,1350,ZUCK,1440,1655,ZSHC,,,,,,,,0,,国内,0,0331,1026,42535,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8164,319,1......,ZUDC,1240,1405,ZUCK,1455,1710,ZSHC,,,,,,,,0,,国内,0,0331,1026,42539,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8164,319,..3....,ZUDC,1235,1355,ZUCK,1445,1710,ZSHC,,,,,,,,0,或330/321/320执行,国内,0,0331,1026,72733,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8164,319,....5.7,ZUDC,1235,1355,ZUCK,1455,1710,ZSHC,,,,,,,,0,或330/321/320执行,国内,0,0331,1026,72735,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8165,319,.2...6.,ZSHC,0705,0935,ZUCK,1025,1155,ZUKD,,,,,,,,0,航路航线审核中；,国内,0,0331,1026,42541,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8166,319,.2...6.,ZUKD,1240,1350,ZUCK,1440,1655,ZSHC,,,,,,,,0,航路航线审核中；,国内,0,0331,1026,42543,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8169,320,1.3.5.7,ZSHC,0645,0940,ZLLL,1045,1225,ZLJQ,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42545,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8170,320,1.3.5.7,ZLJQ,1340,1510,ZLLL,1610,1905,ZSHC,,,,,,,,0,或330/321/319执行,国内,0,0331,1026,42547,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8173,350,1234..7,ZUUU,1650,1925,ZSNJ,,,,,,,,,,,0,或330/321/320/319执行,国内,0,0331,1026,42549,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8173,350,....56.,ZUUU,1700,1925,ZSNJ,,,,,,,,,,,0,或330/321/320/319执行,国内,0,0331,1026,42550,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8174,350,1234567,ZSNJ,2040,2315,ZUUU,,,,,,,,,,,0,或330/321/320/319执行,国内,0,0331,1026,42551,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
3U8175,320,1234567,ZUXC,0700,0840,ZLXY,,,,,,,,,,,0,或319执行,国内,0,0331,1026,42552,J,/,/,True,,,,,,,,,/,/,/,/,,/,,
